output_text,input_text
cat,cats
dog,dogs
apple,apples
book,books
pen,pens
box,boxes
shoe,shoes
child,children
man,men
woman,women
city,cities
tomato,tomatoes
hero,heroes
potato,potatoes
leaf,leaves
baby,babies
berry,berries
knife,knives
loaf,loaves
mouse,mice
foot,feet
tooth,teeth
cactus,cacti
barracks,barracks
bus,buses
fish,fish
wolf,wolves
calf,calves
half,halves
person,people
child,children
ox,oxen
woman,women
man,men
church,churches
tax,taxes
box,boxes
fish,fish
deer,deer
octopus,octopuses
crisis,crises
analysis,analyses
thesis,theses
focus,foci
axis,axes
dog,dogs
child of Dave,children of Dave
book on the table,books on the table
box of cookies,boxes of cookies
cup of coffee,cups of coffee
person in the room,people in the room
cup of shiny gray water with green flakes,cups of shiny gray water with green flakes
child of Sarah and Tim,children of Sarah and Tim
city in the valley,cities in the valley
star in the sky,stars in the sky
half of the sandwich,halves of the sandwich
player with the ball,players with the ball
cookie with chocolate chips,cookies with chocolate chips
fly in the room,flies in the room
box of colorful pencils,boxes of colorful pencils
teacher in the classroom,teachers in the classroom
idea in his mind,ideas in his mind
child on the playground,children on the playground
bottle of green juice,bottles of green juice
pair of shoes,pairs of shoes
fish in the tank,fish in the tanks
sandwich with turkey,sandwiches with turkey
movie on the screen,movies on the screen
student in the class,students in the class
picture on the wall,pictures on the wall
cup of hot chocolate,cups of hot chocolate
leaf on the ground,leaves on the ground
bird in the tree,birds in the tree
car in the driveway,cars in the driveway
bottle of water,bottles of water
child of Mary,children of Mary
letter in the mailbox,letters in the mailbox
house on the street,houses on the street
pen on the desk,pens on the desk
shirt in the drawer,shirts in the drawer
flower in the vase,flowers in the vase
cake on the table,cakes on the table
pencil in the case,pencils in the case
dog on the bed,dogs on the bed
ball on the ground,balls on the ground
coin in the jar,coins in the jar
map on the wall,maps on the wall
glove in the drawer,gloves in the drawer
tree in the park,trees in the park
light in the room,lights in the room
notebook on the desk,notebooks on the desk
phone in the bag,phones in the bag
book in the shelf,books in the shelf
apple on the table,apples on the table
plate with food,plates with food
car in the parking lot,cars in the parking lot
button on the shirt,buttons on the shirt
flag on the pole,flags on the pole
toy on the shelf,toys on the shelf
mug on the counter,mugs on the counter
window in the house,windows in the house
phone on the counter,phones on the counter
bucket of water,buckets of water
key on the table,keys on the table
door in the hallway,doors in the hallway
shirt on the chair,shirts on the chair
lamp on the desk,lamps on the desk
candle on the table,candles on the table
piece of cake,pieces of cake
container of cookies,containers of cookies
piece of bread,pieces of bread
note in the pocket,notes in the pocket
leaf in the wind,leaves in the wind
glass of milk,glasses of milk
sandwich with cheese,sandwiches with cheese
ball in the basket,balls in the basket
cup of soup,cups of soup
painting on the wall,paintings on the wall
coin in the purse,coins in the purse
book with a cover,books with covers
shoe on the foot,shoes on the feet
shiny red apple,shiny red apples
giant purple balloon,giant purple balloons
small wooden box,small wooden boxes
beautiful blue bird,beautiful blue birds
spicy chicken wing,spicy chicken wings
colorful striped sweater,colorful striped sweaters
fluffy white cat,fluffy white cats
old rusty car,old rusty cars
smelly old shoe,smelly old shoes
heavy metal door,heavy metal doors
fast running dog,fast running dogs
green leafy plant,green leafy plants
blue plastic bottle,blue plastic bottles
round orange ball,round orange balls
warm cozy blanket,warm cozy blankets
small wooden chair,small wooden chairs
delicious chocolate cake,delicious chocolate cakes
cold snowy mountain,cold snowy mountains
bright yellow flower,bright yellow flowers
long fluffy tail,long fluffy tails
quick silver fish,quick silver fish
delicate white lace,delicate white laces
large wooden table,large wooden tables
yellow spotted giraffe,yellow spotted giraffes
bright shiny coin,bright shiny coins
fuzzy green moss,fuzzy green mosses
soft velvet pillow,soft velvet pillows
purple velvet curtain,purple velvet curtains
heavy brown box,heavy brown boxes
big green apple,big green apples
cold icy river,cold icy rivers
small orange pumpkin,small orange pumpkins
soft blue cloud,soft blue clouds
fast red car,fast red cars
