directive,input_text,output_text
singularize, fungus,fungi
pluralize,fungi,fungus
pluralize,child of Dave,children of Dave
pluralize,box of cookies,boxes of cookies
pluralize,cup of coffee,cups of coffee
pluralize,pair of shoes,pairs of shoes
pluralize,sandwich with turkey,sandwiches with turkey
pluralize,bottle of water,bottles of water
pluralize,child of Mary,children of Mary
pluralize,plate with food,plates with food
pluralize,bucket of water,buckets of water
pluralize,piece of cake,pieces of cake
pluralize,container of cookies,containers of cookies
pluralize,piece of bread,pieces of bread
pluralize,glass of milk,glasses of milk
pluralize,sandwich with cheese,sandwiches with cheese
pluralize,cup of soup,cups of soup
pluralize,shiny red apple,shiny red apples
pluralize,giant purple balloon,giant purple balloons
pluralize,small wooden box,small wooden boxes
pluralize,beautiful blue bird,beautiful blue birds
pluralize,spicy chicken wing,spicy chicken wings
pluralize,colorful striped sweater,colorful striped sweaters
pluralize,fluffy white cat,fluffy white cats
pluralize,old rusty car,old rusty cars
pluralize,smelly old shoe,smelly old shoes
pluralize,heavy metal door,heavy metal doors
pluralize,fast running dog,fast running dogs
pluralize,green leafy plant,green leafy plants
pluralize,blue plastic bottle,blue plastic bottles
pluralize,round orange ball,round orange balls
pluralize,warm cozy blanket,warm cozy blankets
pluralize,small wooden chair,small wooden chairs
pluralize,delicious chocolate cake,delicious chocolate cakes
pluralize,cold snowy mountain,cold snowy mountains
pluralize,bright yellow flower,bright yellow flowers
pluralize,long fluffy tail,long fluffy tails
pluralize,quick silver fish,quick silver fish
pluralize,delicate white lace,delicate white laces
pluralize,large wooden table,large wooden tables
pluralize,yellow spotted giraffe,yellow spotted giraffes
pluralize,bright shiny coin,bright shiny coins
pluralize,fuzzy green moss,fuzzy green mosses
pluralize,soft velvet pillow,soft velvet pillows
pluralize,purple velvet curtain,purple velvet curtains
pluralize,heavy brown box,heavy brown boxes
pluralize,big green apple,big green apples
pluralize,cold icy river,cold icy rivers
pluralize,small orange pumpkin,small orange pumpkins
pluralize,soft blue cloud,soft blue clouds
pluralize,fast red car,fast red cars
pluralize,dirty white shirt,dirty white shirts
pluralize,high metal fence,high metal fences
pluralize,tiny wooden stick,tiny wooden sticks
pluralize,smelly old sock,smelly old socks
pluralize,shiny silver spoon,shiny silver spoons
pluralize,tiny golden key,tiny golden keys
pluralize,warm woolen scarf,warm woolen scarves
pluralize,big black dog,big black dogs
pluralize,huge fluffy pillow,huge fluffy pillows
pluralize,small wooden table,small wooden tables
pluralize,bright red shirt,bright red shirts
pluralize,heavy metal spoon,heavy metal spoons
pluralize,soft blue sweater,soft blue sweaters
pluralize,spicy green chili,spicy green chilies
pluralize,tall wooden chair,tall wooden chairs
pluralize,thin golden thread,thin golden threads
pluralize,big pink cake,big pink cakes
pluralize,sharp pointed pencil,sharp pointed pencils
pluralize,small red flower,small red flowers
pluralize,clean white towel,clean white towels
pluralize,long wooden plank,long wooden planks
pluralize,rich dark chocolate,rich dark chocolates
pluralize,thick woolen scarf,thick woolen scarves
pluralize,cute little puppy,cute little puppies
pluralize,fresh green leaf,fresh green leaves
pluralize,bright orange sunset,bright orange sunsets
pluralize,old leather book,old leather books
pluralize,small glass jar,small glass jars
pluralize,sweet juicy orange,sweet juicy oranges
pluralize,heavy brown bag,heavy brown bags
pluralize,huge glass window,huge glass windows
pluralize,large gold coin,large gold coins
pluralize,fresh red berry,fresh red berries
pluralize,small shiny rock,small shiny rocks
pluralize,beautiful white butterfly,beautiful white butterflies
pluralize,soft pink pillow,soft pink pillows
pluralize,large fluffy cloud,large fluffy clouds
pluralize,quiet wooden room,quiet wooden rooms
pluralize,hot spicy curry,hot spicy curries
pluralize,big fluffy cloud,big fluffy clouds
pluralize,yellow striped shirt,yellow striped shirts
pluralize,child's woolen glove,children's woolen gloves
pluralize,oxen-drawn cart,oxen-drawn carts
pluralize,knife-sharpened stick,knife-sharpened sticks
pluralize,mouse-infested house,mouse-infested houses
pluralize,tooth-marked pencil,teeth-marked pencils
pluralize,friendly footstep,friendly footsteps
pluralize,wise old man,wise old men
