directive,input_text,output_text
pluralize,book on the table,books on the table
pluralize,person in the room,people in the room
pluralize,cup of shiny gray water with green flakes,cups of shiny gray water with green flakes
pluralize,child of Sarah and Tim,children of Sarah and Tim
pluralize,city in the valley,cities in the valley
pluralize,star in the sky,stars in the sky
pluralize,half of the sandwich,halves of the sandwich
pluralize,player with the ball,players with the ball
pluralize,cookie with chocolate chips,cookies with chocolate chips
pluralize,fly in the room,flies in the room
pluralize,box of colorful pencils,boxes of colorful pencils
pluralize,teacher in the classroom,teachers in the classroom
pluralize,idea in his mind,ideas in his mind
pluralize,child on the playground,children on the playground
pluralize,bottle of green juice,bottles of green juice
pluralize,fish in the tank,fish in the tanks
pluralize,movie on the screen,movies on the screen
pluralize,student in the class,students in the class
pluralize,picture on the wall,pictures on the wall
pluralize,cup of hot chocolate,cups of hot chocolate
pluralize,leaf on the ground,leaves on the ground
pluralize,bird in the tree,birds in the tree
pluralize,car in the driveway,cars in the driveway
pluralize,letter in the mailbox,letters in the mailbox
pluralize,house on the street,houses on the street
pluralize,pen on the desk,pens on the desk
pluralize,shirt in the drawer,shirts in the drawer
pluralize,flower in the vase,flowers in the vase
pluralize,cake on the table,cakes on the table
pluralize,pencil in the case,pencils in the case
pluralize,dog on the bed,dogs on the bed
pluralize,ball on the ground,balls on the ground
pluralize,coin in the jar,coins in the jar
pluralize,map on the wall,maps on the wall
pluralize,glove in the drawer,gloves in the drawer
pluralize,tree in the park,trees in the park
pluralize,light in the room,lights in the room
pluralize,notebook on the desk,notebooks on the desk
pluralize,phone in the bag,phones in the bag
pluralize,book in the shelf,books in the shelf
pluralize,apple on the table,apples on the table
pluralize,car in the parking lot,cars in the parking lot
pluralize,button on the shirt,buttons on the shirt
pluralize,flag on the pole,flags on the pole
pluralize,toy on the shelf,toys on the shelf
pluralize,mug on the counter,mugs on the counter
pluralize,window in the house,windows in the house
pluralize,phone on the counter,phones on the counter
pluralize,key on the table,keys on the table
pluralize,door in the hallway,doors in the hallway
pluralize,shirt on the chair,shirts on the chair
pluralize,lamp on the desk,lamps on the desk
pluralize,candle on the table,candles on the table
pluralize,note in the pocket,notes in the pocket
pluralize,leaf in the wind,leaves in the wind
pluralize,ball in the basket,balls in the basket
pluralize,painting on the wall,paintings on the wall
pluralize,coin in the purse,coins in the purse
pluralize,book with a cover,books with covers
pluralize,shoe on the foot,shoes on the feet
pluralize,small loaf of bread,small loaves of bread
pluralize,ancient sheaf of papers,ancient sheaves of papers
pluralize,pot of gold at the end of the rainbow,pots of gold at the end of the rainbow
pluralize,tiny speck of dust,tiny specks of dust
pluralize,slice of cherry pie,slices of cherry pie
pluralize,pack of wild wolves,packs of wild wolves
pluralize,glass of iced tea,glasses of iced tea
pluralize,cup of hot cocoa,cups of hot cocoa
pluralize,box of old letters,boxes of old letters
pluralize,piece of antique furniture,pieces of antique furniture
pluralize,roll of parchment paper,rolls of parchment paper
pluralize,bowl of fresh fruit,bowls of fresh fruit
pluralize,bottle of vintage wine,bottles of vintage wine
pluralize,bundle of dried herbs,bundles of dried herbs
