"directive","input_text","output_text"
"singularize","cats","cat"
"singularize","dogs","dog"
"singularize","apples","apple"
"singularize","books","book"
"singularize","pens","pen"
"singularize","boxes","box"
"singularize","shoes","shoe"
"singularize","children","child"
"singularize","men","man"
"singularize","women","woman"
"singularize","cities","city"
"singularize","tomatoes","tomato"
"singularize","heroes","hero"
"singularize","potatoes","potato"
"singularize","leaves","leaf"
"singularize","babies","baby"
"singularize","berries","berry"
"singularize","knives","knife"
"singularize","loaves","loaf"
"singularize","mice","mouse"
"singularize","feet","foot"
"singularize","teeth","tooth"
"singularize","cacti","cactus"
"singularize","barracks","barracks"
"singularize","buses","bus"
"singularize","fish","fish"
"singularize","wolves","wolf"
"singularize","calves","calf"
"singularize","halves","half"
"singularize","people","person"
"singularize","children","child"
"singularize","oxen","ox"
"singularize","women","woman"
"singularize","men","man"
"singularize","churches","church"
"singularize","taxes","tax"
"singularize","boxes","box"
"singularize","fish","fish"
"singularize","deer","deer"
"singularize","octopuses","octopus"
"singularize","crises","crisis"
"singularize","analyses","analysis"
"singularize","theses","thesis"
"singularize","foci","focus"
"singularize","axes","axis"
"singularize","dogs","dog"
"singularize","children of Dave","child of Dave"
"singularize","books on the table","book on the table"
"singularize","boxes of cookies","box of cookies"
"singularize","cups of coffee","cup of coffee"
"singularize","people in the room","person in the room"
"singularize","cups of shiny gray water with green flakes","cup of shiny gray water with green flakes"
"singularize","children of Sarah and Tim","child of Sarah and Tim"
"singularize","cities in the valley","city in the valley"
"singularize","stars in the sky","star in the sky"
"singularize","halves of the sandwich","half of the sandwich"
"singularize","players with the ball","player with the ball"
"singularize","cookies with chocolate chips","cookie with chocolate chips"
"singularize","flies in the room","fly in the room"
"singularize","boxes of colorful pencils","box of colorful pencils"
"singularize","teachers in the classroom","teacher in the classroom"
"singularize","ideas in his mind","idea in his mind"
"singularize","children on the playground","child on the playground"
"singularize","bottles of green juice","bottle of green juice"
"singularize","pairs of shoes","pair of shoes"
"singularize","fish in the tanks","fish in the tank"
"singularize","sandwiches with turkey","sandwich with turkey"
"singularize","movies on the screen","movie on the screen"
"singularize","students in the class","student in the class"
"singularize","pictures on the wall","picture on the wall"
"singularize","cups of hot chocolate","cup of hot chocolate"
"singularize","leaves on the ground","leaf on the ground"
"singularize","birds in the tree","bird in the tree"
"singularize","cars in the driveway","car in the driveway"
"singularize","bottles of water","bottle of water"
"singularize","children of Mary","child of Mary"
"singularize","letters in the mailbox","letter in the mailbox"
"singularize","houses on the street","house on the street"
